referrer,views_total,views_unique
nutui.jd.com,2514,599
github.com,269,101
Google,236,127
cn.bing.com,107,63
medium.com,73,49
Baidu,55,35
link.zhihu.com,46,6
link.juejin.cn,38,22
gitee.com,31,15
Bing,30,18
