referrer,views_total,views_unique
nutui.jd.com,2072,578
Google,365,193
github.com,276,92
cn.bing.com,123,62
medium.com,99,45
Baidu,61,40
npmjs.com,39,5
link.juejin.cn,32,21
Bing,32,18
gitee.com,13,9
