referrer,views_total,views_unique
nutui.jd.com,2471,601
Google,248,134
github.com,247,101
cn.bing.com,103,63
medium.com,74,49
Baidu,54,37
link.zhihu.com,46,6
link.juejin.cn,41,24
Bing,29,17
gitee.com,23,12
