time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-02 00:00:00+00:00,6,4,92,48
2024-11-03 00:00:00+00:00,21,8,87,39
2024-11-04 00:00:00+00:00,15,7,471,145
2024-11-05 00:00:00+00:00,24,7,617,153
2024-11-06 00:00:00+00:00,13,5,360,137
2024-11-07 00:00:00+00:00,6,4,460,144
2024-11-08 00:00:00+00:00,4,4,471,136
2024-11-09 00:00:00+00:00,5,3,115,49
2024-11-10 00:00:00+00:00,5,4,68,41
2024-11-11 00:00:00+00:00,24,4,471,169
2024-11-12 00:00:00+00:00,8,3,368,139
2024-11-13 00:00:00+00:00,22,6,404,150
2024-11-14 00:00:00+00:00,9,4,652,150
2024-11-15 00:00:00+00:00,21,6,405,123
