referrer,views_total,views_unique
nutui.jd.com,2292,645
github.com,355,119
Google,324,166
cn.bing.com,104,47
medium.com,87,39
Baidu,60,43
Bing,39,18
link.juejin.cn,33,22
gitee.com,17,9
link.zhihu.com,14,6
