referrer,views_total,views_unique
nutui.jd.com,2052,626
Google,370,193
github.com,261,127
cn.bing.com,116,69
medium.com,81,49
Baidu,65,43
link.juejin.cn,45,23
Bing,31,18
npmjs.com,18,6
gitee.com,16,12
