referrer,views_total,views_unique
nutui.jd.com,2264,637
github.com,346,114
Google,317,160
cn.bing.com,106,45
medium.com,83,38
Baidu,58,41
Bing,39,18
link.juejin.cn,37,19
gitee.com,18,10
link.zhihu.com,13,5
