referrer,views_total,views_unique
nutui.jd.com,2085,573
Google,325,180
github.com,285,96
cn.bing.com,117,55
medium.com,103,44
Baidu,52,38
npmjs.com,40,6
link.juejin.cn,34,23
Bing,32,18
gitee.com,11,8
