referrer,views_total,views_unique
nutui.jd.com,2056,575
Google,386,181
github.com,300,109
cn.bing.com,115,60
medium.com,84,44
Baidu,59,38
npmjs.com,41,6
link.juejin.cn,36,18
Bing,33,20
gitee.com,16,11
