referrer,views_total,views_unique
nutui.jd.com,2235,621
github.com,339,114
Google,314,156
cn.bing.com,96,43
medium.com,71,36
Baidu,57,41
link.juejin.cn,40,21
Bing,40,18
gitee.com,18,10
link.zhihu.com,18,7
