referrer,views_total,views_unique
nutui.jd.com,2494,613
github.com,368,104
Google,361,148
cn.bing.com,71,33
Baidu,67,47
medium.com,48,34
link.juejin.cn,46,27
Bing,27,13
blog.csdn.net,13,7
link.zhihu.com,10,6
