referrer,views_total,views_unique
nutui.jd.com,2147,595
github.com,317,105
Google,263,167
cn.bing.com,134,53
medium.com,109,43
Baidu,52,37
npmjs.com,40,6
link.juejin.cn,35,23
Bing,18,12
gitcode.com,9,7
