referrer,views_total,views_unique
nutui.jd.com,2229,609
Google,375,196
github.com,297,99
cn.bing.com,129,62
medium.com,107,45
Baidu,61,43
npmjs.com,41,7
Bing,34,19
link.juejin.cn,32,21
gitee.com,13,9
