referrer,views_total,views_unique
nutui.jd.com,2564,603
github.com,286,102
Google,263,131
cn.bing.com,111,63
medium.com,64,42
Baidu,53,33
link.zhihu.com,47,7
link.juejin.cn,36,20
Bing,32,19
gitee.com,29,13
