time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-07 00:00:00+00:00,6,4,460,144
2024-11-08 00:00:00+00:00,4,4,471,136
2024-11-09 00:00:00+00:00,5,3,115,49
2024-11-10 00:00:00+00:00,5,4,68,41
2024-11-11 00:00:00+00:00,24,4,471,169
2024-11-12 00:00:00+00:00,8,3,368,139
2024-11-13 00:00:00+00:00,22,6,404,150
2024-11-14 00:00:00+00:00,9,4,652,150
2024-11-15 00:00:00+00:00,21,6,405,123
2024-11-16 00:00:00+00:00,4,2,158,52
2024-11-17 00:00:00+00:00,1,1,187,34
2024-11-18 00:00:00+00:00,18,8,434,120
2024-11-19 00:00:00+00:00,13,5,463,180
2024-11-20 00:00:00+00:00,5,5,485,116
