time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,14,6,562,162
2024-10-24 00:00:00+00:00,7,2,468,168
2024-10-25 00:00:00+00:00,20,7,353,125
2024-10-26 00:00:00+00:00,11,6,142,64
2024-10-27 00:00:00+00:00,4,4,152,45
2024-10-28 00:00:00+00:00,22,8,497,149
2024-10-29 00:00:00+00:00,14,4,529,143
2024-10-30 00:00:00+00:00,27,7,554,151
2024-10-31 00:00:00+00:00,17,6,434,147
2024-11-01 00:00:00+00:00,17,6,370,103
2024-11-02 00:00:00+00:00,6,4,92,48
2024-11-03 00:00:00+00:00,21,8,87,39
2024-11-04 00:00:00+00:00,15,7,471,145
2024-11-05 00:00:00+00:00,20,6,617,153
