referrer,views_total,views_unique
nutui.jd.com,2479,609
github.com,372,107
Google,336,146
cn.bing.com,64,34
Baidu,63,46
medium.com,48,33
link.juejin.cn,42,24
Bing,39,18
link.zhihu.com,19,8
gitee.com,14,6
