time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-02 00:00:00+00:00,17,9,617,143
2024-12-03 00:00:00+00:00,17,8,515,140
2024-12-04 00:00:00+00:00,24,7,562,122
2024-12-05 00:00:00+00:00,6,4,439,159
2024-12-06 00:00:00+00:00,5,2,424,138
2024-12-07 00:00:00+00:00,5,3,140,57
2024-12-08 00:00:00+00:00,4,3,88,40
2024-12-09 00:00:00+00:00,10,5,308,111
2024-12-10 00:00:00+00:00,4,2,380,110
2024-12-11 00:00:00+00:00,15,5,560,147
2024-12-12 00:00:00+00:00,4,2,430,122
2024-12-13 00:00:00+00:00,12,5,458,122
2024-12-14 00:00:00+00:00,9,5,147,52
2024-12-15 00:00:00+00:00,6,4,79,37
