referrer,views_total,views_unique
nutui.jd.com,1906,574
Google,408,186
github.com,280,110
cn.bing.com,112,59
medium.com,94,51
Baidu,68,42
npmjs.com,41,6
link.juejin.cn,37,18
Bing,31,19
gitee.com,18,13
