referrer,views_total,views_unique
nutui.jd.com,2108,581
github.com,337,102
Google,311,179
cn.bing.com,136,59
medium.com,120,44
Baidu,47,37
npmjs.com,40,6
link.juejin.cn,33,22
Bing,28,17
gitee.com,9,6
