referrer,views_total,views_unique
nutui.jd.com,2491,593
Google,278,144
github.com,242,94
cn.bing.com,113,62
medium.com,73,48
Baidu,59,39
link.zhihu.com,47,7
link.juejin.cn,42,25
Bing,30,18
gitee.com,24,13
