referrer,views_total,views_unique
nutui.jd.com,2507,686
github.com,361,119
Google,305,186
cn.bing.com,122,54
medium.com,105,40
Baidu,60,43
link.juejin.cn,32,24
Bing,32,18
gitee.com,16,7
link.zhihu.com,15,6
