referrer,views_total,views_unique
nutui.jd.com,2306,626
github.com,337,114
Google,271,170
cn.bing.com,118,55
medium.com,110,44
Baidu,57,41
link.juejin.cn,32,24
Bing,22,15
npmjs.com,12,5
link.zhihu.com,12,4
