referrer,views_total,views_unique
nutui.jd.com,2531,605
github.com,334,105
Google,284,133
medium.com,76,52
cn.bing.com,75,36
Baidu,63,44
link.juejin.cn,39,27
Bing,16,13
blog.csdn.net,12,6
link.zhihu.com,11,8
