referrer,views_total,views_unique
nutui.jd.com,2364,629
Google,348,179
github.com,325,114
cn.bing.com,116,49
medium.com,94,35
Baidu,54,39
link.juejin.cn,37,25
Bing,30,18
gitee.com,16,8
link.zhihu.com,16,7
