referrer,views_total,views_unique
nutui.jd.com,2403,595
Google,277,134
github.com,267,90
cn.bing.com,110,60
gitee.com,61,15
Baidu,60,36
medium.com,48,32
link.zhihu.com,44,5
link.juejin.cn,35,19
Bing,27,14
