referrer,views_total,views_unique
nutui.jd.com,2365,601
github.com,390,106
Google,353,150
cn.bing.com,75,33
Baidu,57,41
medium.com,44,31
link.juejin.cn,41,23
Bing,36,16
gitee.com,15,7
blog.csdn.net,13,7
