referrer,views_total,views_unique
nutui.jd.com,2554,616
github.com,326,108
Google,282,135
cn.bing.com,81,41
medium.com,78,53
Baidu,73,49
link.juejin.cn,29,27
Bing,19,16
link.zhihu.com,16,9
blog.csdn.net,12,6
