referrer,views_total,views_unique
nutui.jd.com,2127,589
github.com,338,105
Google,294,172
cn.bing.com,126,54
medium.com,117,43
Baidu,53,37
npmjs.com,40,6
link.juejin.cn,34,22
Bing,19,13
gitcode.com,8,6
