referrer,views_total,views_unique
nutui.jd.com,2740,635
Google,293,141
github.com,278,100
cn.bing.com,117,65
gitee.com,63,17
Baidu,60,37
medium.com,59,39
link.zhihu.com,47,7
link.juejin.cn,36,20
Bing,30,17
