referrer,views_total,views_unique
nutui.jd.com,1979,622
Google,386,200
github.com,258,126
cn.bing.com,115,71
medium.com,86,52
Baidu,68,45
link.juejin.cn,47,25
Bing,35,20
gitee.com,19,13
npmjs.com,14,5
