referrer,views_total,views_unique
nutui.jd.com,2340,583
github.com,289,94
Google,265,131
cn.bing.com,100,52
gitee.com,62,16
Baidu,61,37
medium.com,57,34
link.zhihu.com,39,3
link.juejin.cn,37,21
Bing,27,15
