referrer,views_total,views_unique
nutui.jd.com,2229,616
Google,373,191
github.com,300,102
cn.bing.com,122,59
medium.com,105,45
Baidu,61,43
npmjs.com,40,6
link.juejin.cn,34,23
Bing,32,18
gitee.com,11,8
