referrer,views_total,views_unique
nutui.jd.com,2517,673
github.com,419,122
Google,355,166
cn.bing.com,98,46
medium.com,79,41
Baidu,64,45
Bing,42,19
link.juejin.cn,41,22
gitee.com,18,10
link.zhihu.com,18,7
