referrer,views_total,views_unique
nutui.jd.com,2442,672
github.com,370,119
Google,285,175
cn.bing.com,124,55
medium.com,111,44
Baidu,56,40
link.juejin.cn,33,25
Bing,31,18
gitee.com,15,7
link.zhihu.com,13,5
