time_iso8601,stars_cumulative
2019-04-22 00:00:00+00:00,828
2019-04-23 00:00:00+00:00,834
2019-04-24 00:00:00+00:00,842
2019-04-25 00:00:00+00:00,852
2019-04-26 00:00:00+00:00,861
2019-04-27 00:00:00+00:00,863
2019-04-28 00:00:00+00:00,868
2019-04-29 00:00:00+00:00,878
2019-04-30 00:00:00+00:00,882
2019-05-01 00:00:00+00:00,883
2019-05-03 00:00:00+00:00,886
2019-05-05 00:00:00+00:00,889
2019-05-06 00:00:00+00:00,892
2019-05-07 00:00:00+00:00,920
2019-05-08 00:00:00+00:00,929
2019-05-09 00:00:00+00:00,932
2019-05-10 00:00:00+00:00,935
2019-05-11 00:00:00+00:00,937
2019-05-13 00:00:00+00:00,940
2019-05-14 00:00:00+00:00,945
2019-05-15 00:00:00+00:00,948
2019-05-16 00:00:00+00:00,953
2019-05-17 00:00:00+00:00,955
2019-05-18 00:00:00+00:00,956
2019-05-19 00:00:00+00:00,958
2019-05-20 00:00:00+00:00,961
2019-05-21 00:00:00+00:00,964
2019-05-22 00:00:00+00:00,965
2019-05-23 00:00:00+00:00,971
2019-05-24 00:00:00+00:00,977
2019-05-25 00:00:00+00:00,978
2019-05-26 00:00:00+00:00,979
2019-05-27 00:00:00+00:00,983
2019-05-28 00:00:00+00:00,985
2019-05-29 00:00:00+00:00,988
2019-05-30 00:00:00+00:00,991
2019-05-31 00:00:00+00:00,1000
2019-06-01 00:00:00+00:00,1001
2019-06-03 00:00:00+00:00,1006
2019-06-04 00:00:00+00:00,1008
2019-06-05 00:00:00+00:00,1011
2019-06-06 00:00:00+00:00,1018
2019-06-07 00:00:00+00:00,1019
2019-06-08 00:00:00+00:00,1020
2019-06-09 00:00:00+00:00,1026
2019-06-10 00:00:00+00:00,1031
2019-06-11 00:00:00+00:00,1034
2019-06-12 00:00:00+00:00,1037
2019-06-13 00:00:00+00:00,1040
2019-06-14 00:00:00+00:00,1043
2019-06-15 00:00:00+00:00,1045
2019-06-17 00:00:00+00:00,1049
2019-06-18 00:00:00+00:00,1051
2019-06-20 00:00:00+00:00,1052
2019-06-21 00:00:00+00:00,1053
2019-06-22 00:00:00+00:00,1056
2019-06-23 00:00:00+00:00,1058
2019-06-24 00:00:00+00:00,1060
2019-06-25 00:00:00+00:00,1064
2019-06-26 00:00:00+00:00,1074
2019-06-27 00:00:00+00:00,1078
2019-06-28 00:00:00+00:00,1082
2019-06-29 00:00:00+00:00,1083
2019-07-01 00:00:00+00:00,1088
2019-07-02 00:00:00+00:00,1089
2019-07-03 00:00:00+00:00,1093
2019-07-04 00:00:00+00:00,1094
2019-07-05 00:00:00+00:00,1100
2019-07-06 00:00:00+00:00,1102
2019-07-08 00:00:00+00:00,1104
2019-07-09 00:00:00+00:00,1105
2019-07-10 00:00:00+00:00,1106
2019-07-11 00:00:00+00:00,1108
2019-07-13 00:00:00+00:00,1109
2019-07-15 00:00:00+00:00,1110
2019-07-16 00:00:00+00:00,1112
2019-07-17 00:00:00+00:00,1115
2019-07-18 00:00:00+00:00,1116
2019-07-19 00:00:00+00:00,1118
2019-07-21 00:00:00+00:00,1119
2019-07-22 00:00:00+00:00,1120
2019-07-23 00:00:00+00:00,1121
2019-07-24 00:00:00+00:00,1125
2019-07-25 00:00:00+00:00,1128
2019-07-26 00:00:00+00:00,1131
2019-07-27 00:00:00+00:00,1132
2019-07-29 00:00:00+00:00,1133
2019-07-30 00:00:00+00:00,1134
2019-07-31 00:00:00+00:00,1138
2019-08-01 00:00:00+00:00,1147
2019-08-02 00:00:00+00:00,1149
2019-08-03 00:00:00+00:00,1150
2019-08-05 00:00:00+00:00,1151
2019-08-06 00:00:00+00:00,1153
2019-08-07 00:00:00+00:00,1157
2019-08-08 00:00:00+00:00,1160
2019-08-09 00:00:00+00:00,1162
2019-08-11 00:00:00+00:00,1163
2019-08-12 00:00:00+00:00,1167
2019-08-13 00:00:00+00:00,1168
2019-08-16 00:00:00+00:00,1172
2019-08-18 00:00:00+00:00,1173
2019-08-19 00:00:00+00:00,1176
2019-08-20 00:00:00+00:00,1181
2019-08-21 00:00:00+00:00,1183
2019-08-22 00:00:00+00:00,1184
2019-08-24 00:00:00+00:00,1185
2019-08-26 00:00:00+00:00,1186
